negative_id,image_path,observation_id,body_part,bbox_x,bbox_y,bbox_w,bbox_h,img_width,img_height,detector_model,confidence,created_at
d195de833e6b,data/sources/flickr/images/29257382983.jpg,flickr_ed9b2669,whole_body,509,0,515,164,1024,768,best.pt,0.5019811391830444,2026-08-03T16:59:44+00:00
f12b8e8e425e,data/sources/flickr/images/29906776627.jpg,flickr_ed80baec,throat,2805,2440,463,470,5822,2911,best.pt,0.2936558425426483,2026-08-03T17:01:37+00:00
681d13f7826d,data/sources/flickr/images/3149802547.jpg,flickr_b30047d4,throat,143,32,91,109,1023,902,best.pt,0.5246836543083191,2026-08-03T17:08:09+00:00
048935ce0a56,data/sources/flickr/images/3291477925.jpg,flickr_423d6a4b,whole_body,3,7,642,666,1024,683,best.pt,0.829342246055603,2026-08-03T17:10:34+00:00
624f91e7e7c4,data/sources/flickr/images/3291477925.jpg,flickr_423d6a4b,throat,122,394,408,285,1024,683,best.pt,0.3035491108894348,2026-08-03T17:10:35+00:00
9f3d58bc6619,data/sources/flickr/images/33581727158.jpg,flickr_d9f4faf2,whole_body,396,98,49,67,1024,420,best.pt,0.8450860381126404,2026-08-03T17:12:37+00:00
fb4987b7e00b,data/sources/flickr/images/33581727158.jpg,flickr_d9f4faf2,throat,405,109,32,53,1024,420,best.pt,0.796084463596344,2026-08-03T17:12:38+00:00
86a32314a2f3,data/sources/flickr/images/33581727158.jpg,flickr_d9f4faf2,whole_body,453,320,103,92,1024,420,best.pt,0.7479217648506165,2026-08-03T17:12:39+00:00
34faeefe3a46,data/sources/flickr/images/33581727158.jpg,flickr_d9f4faf2,whole_body,480,121,44,66,1024,420,best.pt,0.4028223156929016,2026-08-03T17:12:40+00:00
c04360fdce17,data/sources/flickr/images/33581794578.jpg,flickr_d9f4faf2,whole_body,0,134,98,503,1024,683,best.pt,0.7913836240768433,2026-08-03T17:12:45+00:00
4be50ac4972e,data/sources/flickr/images/33581794578.jpg,flickr_d9f4faf2,whole_body,958,170,66,409,1024,683,best.pt,0.4626252651214599,2026-08-03T17:12:46+00:00
01d4e758f7a3,data/sources/flickr/images/33581794578.jpg,flickr_d9f4faf2,throat,0,189,34,350,1024,683,best.pt,0.2868364453315735,2026-08-03T17:12:47+00:00
1eb27610db7a,data/sources/flickr/images/33581840258.jpg,flickr_9d19f273,whole_body,502,83,261,354,1024,683,best.pt,0.7776152491569519,2026-08-03T17:12:52+00:00
939046047101,data/sources/flickr/images/33581840258.jpg,flickr_9d19f273,throat,558,179,153,189,1024,683,best.pt,0.5320228338241577,2026-08-03T17:12:53+00:00
2ae05a5e5672,data/sources/flickr/images/33581840258.jpg,flickr_9d19f273,throat_portrait,558,179,143,193,1024,683,best.pt,0.2636830806732178,2026-08-03T17:12:55+00:00
746dfb381954,data/sources/flickr/images/33582052068.jpg,flickr_bb635740,whole_body,237,30,515,650,1024,680,best.pt,0.8929262161254883,2026-08-03T17:12:59+00:00
21e10692553f,data/sources/flickr/images/33582052068.jpg,flickr_bb635740,throat,413,133,233,469,1024,680,best.pt,0.775917649269104,2026-08-03T17:13:00+00:00
274efe563760,data/sources/flickr/images/33623593922.jpg,flickr_5488dcd7,throat,1089,234,384,773,1791,1401,best.pt,0.7658669352531433,2026-08-03T17:13:10+00:00
c2555f1be03c,data/sources/flickr/images/3870722410.jpg,flickr_dff3f1f7,throat,393,446,225,346,1536,2048,best.pt,0.3330756723880768,2026-08-03T17:22:00+00:00
e18f34cc6bff,data/sources/flickr/images/4247126691.jpg,flickr_5b45acd8,whole_body,0,41,147,561,1024,681,best.pt,0.287435233592987,2026-08-03T17:25:54+00:00
222411dadbf1,data/sources/flickr/images/4428419050.jpg,flickr_c51c161f,throat,1148,1654,308,254,3072,2304,best.pt,0.6890710592269897,2026-08-03T17:29:20+00:00
9f985a20f2c2,data/sources/flickr/images/4428419050.jpg,flickr_c51c161f,whole_body,1024,1225,681,813,3072,2304,best.pt,0.7779426574707031,2026-08-03T17:29:22+00:00
21f40fee8c91,data/sources/flickr/images/47405032592.jpg,flickr_9d19f273,throat,447,75,157,126,1024,614,best.pt,0.2986599504947662,2026-08-03T17:41:20+00:00
0f640364dfb2,data/sources/flickr/images/47405036582.jpg,flickr_9d19f273,throat,793,100,76,104,1024,605,best.pt,0.7597414255142212,2026-08-03T17:41:30+00:00
40efc7c9faa2,data/sources/flickr/images/47405036582.jpg,flickr_9d19f273,whole_body,749,51,167,195,1024,605,best.pt,0.8892083764076233,2026-08-03T17:41:32+00:00
c16591ad64c5,data/sources/flickr/images/47405103092.jpg,flickr_d9f4faf2,whole_body,398,124,100,79,1024,694,best.pt,0.5311284065246582,2026-08-03T17:41:39+00:00
a552340e82b5,data/sources/flickr/images/48042942022.jpg,flickr_68b27dd1,throat,862,403,110,141,1920,1080,best.pt,0.418376624584198,2026-08-03T17:44:03+00:00
6d5a1587cd94,data/sources/flickr/images/48496762547.jpg,flickr_ade9adcf,throat,187,568,28,55,1024,732,best.pt,0.464085042476654,2026-08-03T17:44:47+00:00
86d498116fe3,data/sources/flickr/images/48870634663.jpg,flickr_5425f72b,whole_body,1824,16,1733,3353,3592,3648,best.pt,0.8452397584915161,2026-08-03T17:47:45+00:00
1c2e572f6c79,data/sources/flickr/images/49338261826.jpg,flickr_d55aa552,throat,36,4702,206,509,4000,6000,best.pt,0.271994799375534,2026-08-03T17:51:35+00:00
7d88c5a30812,data/sources/flickr/images/49782075166.jpg,flickr_69dc58c4,throat,486,135,94,128,1024,683,best.pt,0.900765061378479,2026-08-03T17:53:05+00:00
0ed59d30876b,data/sources/flickr/images/49782075166.jpg,flickr_69dc58c4,throat_portrait,486,134,95,130,1024,683,best.pt,0.5282331705093384,2026-08-03T17:53:06+00:00
01a071421637,data/sources/flickr/images/51537183664.jpg,flickr_1938c9c7,whole_body,307,258,276,299,1023,683,best.pt,0.652116596698761,2026-08-03T17:55:10+00:00
3a9919f92577,data/sources/flickr/images/51537373570.jpg,flickr_1938c9c7,throat,717,382,49,69,1023,683,best.pt,0.5228241682052612,2026-08-03T17:55:14+00:00
bf3c7dc9bf5c,data/sources/flickr/images/51537388440.jpg,flickr_1938c9c7,whole_body,301,193,325,326,1023,683,best.pt,0.8863090872764587,2026-08-03T17:55:17+00:00
6fe96951d29c,data/sources/flickr/images/51537388440.jpg,flickr_1938c9c7,throat,411,249,90,144,1023,683,best.pt,0.609304666519165,2026-08-03T17:55:18+00:00
014ececb7d29,data/sources/flickr/images/51610464348.jpg,flickr_f53f8938,throat,181,589,36,59,1024,768,best.pt,0.4399778544902801,2026-08-03T17:55:26+00:00
eb3f30a17aab,data/sources/flickr/images/51610464348.jpg,flickr_f53f8938,throat_portrait,182,589,35,59,1024,768,best.pt,0.2921029329299927,2026-08-03T17:55:27+00:00
a3f5b57424ae,data/sources/flickr/images/51611125420.jpg,flickr_961850c5,whole_body,320,414,57,61,1024,683,best.pt,0.8404120206832886,2026-08-03T17:55:32+00:00
e764af730821,data/sources/flickr/images/51611125420.jpg,flickr_961850c5,whole_body,98,382,88,68,1024,683,best.pt,0.3846250772476196,2026-08-03T17:55:33+00:00
e6689b336be6,data/sources/flickr/images/51611125420.jpg,flickr_961850c5,throat,330,427,33,42,1024,683,best.pt,0.7865489721298218,2026-08-03T17:55:34+00:00
f7c26369071b,data/sources/flickr/images/51611125420.jpg,flickr_961850c5,throat_portrait,330,427,34,43,1024,683,best.pt,0.2715506851673126,2026-08-03T17:55:35+00:00
cfd9036069a0,data/sources/flickr/images/51880622666.jpg,flickr_10005edc,whole_body,158,94,538,578,1024,768,best.pt,0.5836655497550964,2026-08-03T17:56:28+00:00
681119f201b0,data/sources/flickr/images/51883644442.jpg,flickr_c7fcb5c1,whole_body,110,4,735,658,1024,768,best.pt,0.5249302983283997,2026-08-03T17:56:31+00:00
838f4f96bcf9,data/sources/flickr/images/51884615881.jpg,flickr_26b7a71e,whole_body,1,8,838,748,1024,768,best.pt,0.7400050163269043,2026-08-03T17:56:34+00:00
cb0a6ba15442,data/sources/flickr/images/51884615881.jpg,flickr_26b7a71e,throat,403,296,329,405,1024,768,best.pt,0.6643285155296326,2026-08-03T17:56:35+00:00
e7ecdf287664,data/sources/flickr/images/51884615976.jpg,flickr_95cfb968,throat,222,121,495,445,1024,768,best.pt,0.2724179327487945,2026-08-03T17:56:39+00:00
6d1c2c2d5363,data/sources/flickr/images/51884616081.jpg,flickr_95cfb968,whole_body,33,0,975,1005,1024,1017,best.pt,0.9040314555168152,2026-08-03T17:56:42+00:00
72a40347e16b,data/sources/flickr/images/51884616081.jpg,flickr_95cfb968,throat_portrait,396,172,503,806,1024,1017,best.pt,0.5504605770111084,2026-08-03T17:56:43+00:00
d33344589612,data/sources/flickr/images/51884616081.jpg,flickr_95cfb968,throat,351,200,563,791,1024,1017,best.pt,0.2849026024341583,2026-08-03T17:56:45+00:00
660ac230902b,data/sources/flickr/images/51884935714.jpg,flickr_26b7a71e,whole_body,99,50,800,708,1024,768,best.pt,0.8990119099617004,2026-08-03T17:56:49+00:00
3773e8c54c66,data/sources/flickr/images/51884943639.jpg,flickr_ec088207,throat,195,214,442,305,1024,768,best.pt,0.453441709280014,2026-08-03T17:56:52+00:00
b0e0ebe57258,data/sources/flickr/images/51885263285.jpg,flickr_d9517920,whole_body,17,147,804,621,1024,768,best.pt,0.8459919095039368,2026-08-03T17:56:56+00:00
d5b8c7f57459,data/sources/flickr/images/51885270570.jpg,flickr_ec088207,whole_body,121,67,787,701,1024,768,best.pt,0.8213391900062561,2026-08-03T17:56:58+00:00
ba4712363c02,data/sources/flickr/images/51885270570.jpg,flickr_ec088207,throat,347,177,295,428,1024,768,best.pt,0.6305980682373047,2026-08-03T17:57:00+00:00
298a7d02b132,data/sources/flickr/images/51897293256.jpg,flickr_17c9e0c7,throat,111,412,191,201,768,1024,best.pt,0.2568481862545013,2026-08-03T17:57:02+00:00
60331f767613,data/sources/flickr/images/51897295926.jpg,flickr_1b9356f2,whole_body,14,88,714,680,768,1024,best.pt,0.7719526290893555,2026-08-03T17:57:05+00:00
c13f7acfc3c7,data/sources/flickr/images/51897295926.jpg,flickr_1b9356f2,throat,171,169,271,407,768,1024,best.pt,0.3276269137859344,2026-08-03T17:57:07+00:00
0ae22de4c98e,data/sources/flickr/images/51897385768.jpg,flickr_f2723db5,throat,297,425,206,222,1024,1021,best.pt,0.7835721373558044,2026-08-03T17:57:09+00:00
98fecbff2cbb,data/sources/flickr/images/51897633919.jpg,flickr_f2723db5,whole_body,15,58,731,725,768,1024,best.pt,0.9211294651031494,2026-08-03T17:57:12+00:00
0dc5333ad5b6,data/sources/flickr/images/51897633919.jpg,flickr_f2723db5,throat,202,226,150,387,768,1024,best.pt,0.8696252107620239,2026-08-03T17:57:14+00:00
f20c9a449ad4,data/sources/flickr/images/51897633919.jpg,flickr_f2723db5,throat_portrait,201,228,151,375,768,1024,best.pt,0.4665246605873108,2026-08-03T17:57:15+00:00
aa64bc70119f,data/sources/flickr/images/51897903924.jpg,flickr_a30ceafc,whole_body,20,57,714,703,768,1024,best.pt,0.9378807544708252,2026-08-03T17:57:18+00:00
688ab3917bfd,data/sources/flickr/images/51897903924.jpg,flickr_a30ceafc,throat,378,117,197,492,768,1024,best.pt,0.6442002058029175,2026-08-03T17:57:19+00:00
2fff80623743,data/sources/flickr/images/51897949935.jpg,flickr_a30ceafc,whole_body,20,57,714,703,768,1024,best.pt,0.9378807544708252,2026-08-03T17:57:22+00:00
034f7569d091,data/sources/flickr/images/51897949935.jpg,flickr_a30ceafc,throat,378,117,197,492,768,1024,best.pt,0.6442002058029175,2026-08-03T17:57:23+00:00
09ff770a2de3,data/sources/flickr/images/51898220025.jpg,flickr_a30ceafc,whole_body,35,57,710,707,768,1024,best.pt,0.5640588998794556,2026-08-03T17:57:26+00:00
219a7b4b8b16,data/sources/flickr/images/51898220025.jpg,flickr_a30ceafc,throat,197,146,340,483,768,1024,best.pt,0.5436561107635498,2026-08-03T17:57:27+00:00
9d5f544c99fe,data/sources/flickr/images/52246247150.jpg,flickr_007b4d52,throat,426,120,70,106,935,623,best.pt,0.2993136644363403,2026-08-03T17:58:16+00:00
400aff969b41,data/sources/flickr/images/53064407482.jpg,flickr_3a24e707,throat,2688,2644,430,619,6144,4628,best.pt,0.4337952136993408,2026-08-03T18:05:45+00:00
4733b4fae263,data/sources/flickr/images/53065380100.jpg,flickr_ba5ec5b3,throat,3913,3376,637,699,6144,4096,best.pt,0.7193701267242432,2026-08-03T18:05:51+00:00
ec10ef09967e,data/sources/flickr/images/53496653587.jpg,flickr_5b8b126c,whole_body,4082,2440,289,276,4500,3405,best.pt,0.257285863161087,2026-08-03T18:12:56+00:00
e8e3dafb5976,data/sources/flickr/images/53517077438.jpg,flickr_71f78bfe,throat,744,358,39,70,1500,1000,best.pt,0.266583114862442,2026-08-03T18:12:59+00:00
7aa395409c01,data/sources/flickr/images/53517230209.jpg,flickr_71f78bfe,whole_body,619,394,70,148,1500,1000,best.pt,0.8450993895530701,2026-08-03T18:13:03+00:00
6258b39bf080,data/sources/flickr/images/53517230209.jpg,flickr_71f78bfe,throat,638,414,39,117,1500,1000,best.pt,0.5585558414459229,2026-08-03T18:13:04+00:00
90ecfb260b37,data/sources/flickr/images/5436864555.jpg,flickr_e52d5467,whole_body,45,8,455,683,500,721,best.pt,0.6656275987625122,2026-08-03T18:20:32+00:00
42fd668db9d2,data/sources/flickr/images/5436864555.jpg,flickr_e52d5467,whole_body,81,3,419,645,500,721,best.pt,0.3417176604270935,2026-08-03T18:20:33+00:00
8cabb9c18254,data/sources/flickr/images/5436864555.jpg,flickr_e52d5467,throat,140,227,241,404,500,721,best.pt,0.3154845535755157,2026-08-03T18:20:35+00:00
f535508e8998,data/sources/flickr/images/54822695188.jpg,flickr_c00da726,whole_body,556,768,228,403,3711,1855,best.pt,0.3875256478786468,2026-08-03T18:23:15+00:00
6aa5bf898613,data/sources/flickr/images/6878832206.jpg,flickr_ad261395,throat,0,1033,266,777,3264,2448,best.pt,0.6846574544906616,2026-08-03T18:34:16+00:00
ec9f62613639,data/sources/flickr/images/6878867012.jpg,flickr_ad261395,whole_body,884,0,2764,2675,3648,2736,best.pt,0.6228586435317993,2026-08-03T18:34:23+00:00
40df9f6a2b2f,data/sources/flickr/images/7024781049.jpg,flickr_d5e7d669,throat,2050,1661,119,275,3264,2448,best.pt,0.4573156237602234,2026-08-03T18:35:07+00:00
62653738b475,data/sources/flickr/images/7024781049.jpg,flickr_d5e7d669,throat_portrait,2053,1661,114,271,3264,2448,best.pt,0.2540856897830963,2026-08-03T18:35:08+00:00
539c2448acc3,data/sources/flickr/images/9280469526.jpg,flickr_0a78a94f,whole_body,1588,0,464,284,3072,2304,best.pt,0.2930129468441009,2026-08-03T18:44:57+00:00
e77cf2b5509d,data/sources/flickr/images/9312831271.jpg,flickr_e58ef5e1,throat_portrait,369,287,82,93,1024,683,best.pt,0.4613983035087585,2026-08-03T18:45:02+00:00
13d995ff89a8,data/sources/upload/images/upload-20260530-d679afb5/20260530_093249.jpg,upload-20260530-d679afb5,whole_body,53,1508,1518,1045,4000,2252,best.pt,0.2938031256198883,2026-08-17T01:33:17+00:00
d2a4376103be,data/sources/inat/images/67210368/108532704.jpg,inat_67210368,whole_body,58,253,132,195,999,666,best.pt,0.2659036517143249,2026-08-17T04:18:40+00:00
6ec3c965f116,data/sources/inat/images/59231652/94628794.jpeg,inat_59231652,throat,71,1,53,53,1024,768,best.pt,0.9543634057044984,2026-08-17T04:20:52+00:00
19be57d42949,data/sources/inat/images/59231652/94628794.jpeg,inat_59231652,throat_portrait,71,1,55,53,1024,768,best.pt,0.5053408741950989,2026-08-17T04:20:53+00:00
cc00558a04b0,data/sources/inat/images/59231652/94628794.jpeg,inat_59231652,whole_body,631,0,191,72,1024,768,best.pt,0.4772467315196991,2026-08-17T04:20:55+00:00
8922c1d94f6a,data/sources/inat/images/59231652/94628794.jpeg,inat_59231652,throat_portrait,74,3,50,49,1024,768,best.pt,0.3588578999042511,2026-08-17T04:20:56+00:00
2075473477bc,data/sources/inat/images/59231652/94628794.jpeg,inat_59231652,throat,765,1,36,58,1024,768,best.pt,0.3352986574172973,2026-08-17T04:20:58+00:00
6c47cfa90fad,data/sources/inat/images/59231652/94628794.jpeg,inat_59231652,whole_body,742,0,76,66,1024,768,best.pt,0.257018893957138,2026-08-17T04:21:00+00:00
3611a7300e38,data/sources/inat/images/44688223/70849581.jpg,inat_44688223,whole_body,0,127,934,671,1200,800,best.pt,0.3386464416980743,2026-08-17T16:28:43+00:00
f86f7fbb89d4,data/sources/inat/images/391370127/717117290.jpg,inat_391370127,whole_body,0,1288,1505,760,1536,2048,best.pt,0.5108897089958191,2026-08-17T16:36:01+00:00
2c998ac4c000,data/sources/inat/images/388299164/712235230.jpg,inat_388299164,whole_body,700,0,455,229,1155,2048,best.pt,0.3070147335529327,2026-08-17T16:41:09+00:00
