annotation_id,image_path,observation_id,individual_id,body_part,bbox_x,bbox_y,bbox_w,bbox_h,img_width,img_height,split,notes,created_at
6f2d710a3ff3,data/sources/inat/images/81669228/133970511.jpeg,inat_81669228,otter-0015,whole_body,125,788,316,386,2048,1536,,,2026-07-28T15:28:20+00:00
e64a283eae44,data/sources/inat/images/81669228/133970511.jpeg,inat_81669228,otter-0015,throat,219,944,152,205,2048,1536,,,2026-07-28T15:28:28+00:00
97d293a6584b,data/sources/inat/images/8192424/10853863.jpg,inat_8192424,otter-0016,whole_body,176,219,549,287,992,744,,,2026-07-28T15:29:42+00:00
283ea229d2c9,data/sources/inat/images/8192424/10853863.jpg,inat_8192424,otter-0016,throat,512,314,160,99,992,744,,,2026-07-28T15:29:49+00:00
7778fbc54daf,data/sources/inat/images/7553374/9859243.jpg,inat_7553374,otter-0017,whole_body,573,263,766,1000,2048,1366,,,2026-07-28T15:31:40+00:00
dfa050940165,data/sources/inat/images/7553374/9859241.jpg,inat_7553374,otter-0017,whole_body,720,241,576,822,2048,1366,,,2026-07-28T15:32:19+00:00
5730b77cfbab,data/sources/inat/images/7546935/9848352.jpg,inat_7546935,otter-0018,whole_body,5,325,663,735,2048,1366,,,2026-07-28T15:34:09+00:00
6599888d277b,data/sources/inat/images/73058461/119224712.jpg,inat_73058461,otter-0019,whole_body,1072,349,431,737,2048,1417,,,2026-07-28T15:35:19+00:00
6d66e2f79685,data/sources/inat/images/71514141/116445412.jpg,inat_71514141,otter-0020,whole_body,935,638,407,287,2048,1365,,,2026-07-28T15:37:16+00:00
657894a751f9,data/sources/inat/images/71514141/116445412.jpg,inat_71514141,otter-0020,throat,1002,682,72,106,2048,1365,,,2026-07-28T15:37:28+00:00
e98b6000a8ff,data/sources/inat/images/71215061/115908200.jpeg,inat_71215061,otter-0021,whole_body,867,301,511,634,2048,1357,,,2026-07-28T16:11:31+00:00
291b93803f08,data/sources/inat/images/70738067/115051356.jpeg,inat_70738067,otter-0022,whole_body,400,178,841,954,2048,1365,,,2026-07-28T16:12:06+00:00
2e0b8d8bec21,data/sources/inat/images/69453375/112694288.jpg,inat_69453375,otter-0023,whole_body,106,159,628,308,900,640,,,2026-07-28T16:13:11+00:00
7feb1fb9c037,data/sources/inat/images/68780881/111455800.jpeg,inat_68780881,otter-0024,whole_body,5,164,1554,1010,2048,1536,,,2026-07-28T16:15:58+00:00
0f2100761610,data/sources/inat/images/68745333/111392076.jpg,inat_68745333,otter-0025,whole_body,922,466,515,418,1912,1275,,,2026-07-28T16:16:31+00:00
cc9d8a0484c1,data/sources/inat/images/65402371/105261882.jpeg,inat_65402371,otter-0026,whole_body,378,190,841,935,2048,1150,,,2026-07-28T16:17:30+00:00
285f6a161586,data/sources/inat/images/58699345/93735267.jpg,inat_58699345,otter-0027,whole_body,672,345,1207,648,2048,1368,,,2026-07-28T16:20:40+00:00
06a0b96bb445,data/sources/inat/images/56551040/90113300.jpg,inat_56551040,otter-0264,whole_body,773,417,376,419,2048,1360,,,2026-07-28T16:27:38+00:00
04b8732e3bed,data/sources/inat/images/5514510/6800859.jpg,inat_5514510,otter-0029,whole_body,345,332,182,292,917,912,,,2026-07-28T16:30:19+00:00
1ceccbadeb3d,data/sources/inat/images/5494963/6770550.jpg,inat_5494963,otter-0030,whole_body,765,653,254,305,1802,1799,,,2026-07-28T16:31:00+00:00
c015382eaa8d,data/sources/inat/images/53754777/85509209.jpg,inat_53754777,otter-0031,whole_body,775,355,494,435,1539,1026,,,2026-07-28T16:32:14+00:00
fb084d4f5332,data/sources/inat/images/53754777/85509209.jpg,inat_53754777,otter-0031,throat,811,424,100,206,1539,1026,,,2026-07-28T16:32:26+00:00
40fab5246c6d,data/sources/inat/images/53754777/85509199.jpg,inat_53754777,otter-0031,whole_body,1047,401,417,389,1663,1109,,,2026-07-28T16:32:50+00:00
5aa74844da69,data/sources/inat/images/53754777/85509199.jpg,inat_53754777,otter-0031,throat,1197,522,143,174,1663,1109,,,2026-07-28T16:32:55+00:00
3b9f814935a0,data/sources/inat/images/53754777/85508374.jpg,inat_53754777,otter-0031,whole_body,310,375,453,666,1743,1162,,,2026-07-28T16:34:26+00:00
5f4c98670c94,data/sources/inat/images/53406678/84943923.jpg,inat_53406678,otter-0031,whole_body,640,401,302,239,1263,842,,,2026-07-28T16:40:00+00:00
1806bb86afc4,data/sources/inat/images/53406678/84943923.jpg,inat_53406678,otter-0031,throat,670,464,88,147,1263,842,,,2026-07-28T16:40:08+00:00
ecca6aa2d528,data/sources/inat/images/516547/658430.png,inat_516547,otter-0032,whole_body,54,62,52,56,133,129,,,2026-07-28T16:43:30+00:00
c5d9fbc90283,data/sources/inat/images/516523/658415.png,inat_516523,otter-0033,whole_body,8,29,125,85,178,141,,,2026-07-28T16:44:07+00:00
02722746cba7,data/sources/inat/images/516522/658410.png,inat_516522,otter-0034,whole_body,6,5,97,116,110,140,,,2026-07-28T16:44:49+00:00
f8526d991a85,data/sources/inat/images/516521/658409.png,inat_516521,otter-0035,whole_body,12,20,104,114,122,142,,,2026-07-28T16:45:56+00:00
8d2856badaf0,data/sources/inat/images/516520/658408.png,inat_516520,otter-0036,whole_body,24,2,103,135,199,142,,,2026-07-28T16:46:31+00:00
f8632a23dc8d,data/sources/inat/images/516519/658407.png,inat_516519,otter-0037,whole_body,15,12,66,110,102,158,,,2026-07-28T16:47:16+00:00
7dbadd099bed,data/sources/inat/images/516518/658406.png,inat_516518,otter-0038,whole_body,2,8,294,134,296,147,,,2026-07-28T16:50:22+00:00
00b2fd2828be,data/sources/inat/images/516510/658392.png,inat_516510,otter-0039,whole_body,19,25,64,102,107,152,,,2026-07-28T16:50:57+00:00
d54c6f9e0769,data/sources/inat/images/516509/658391.png,inat_516509,otter-0040,whole_body,17,24,88,106,178,139,,,2026-07-28T16:56:59+00:00
468f20944485,data/sources/inat/images/516508/658390.png,inat_516508,otter-0041,whole_body,22,11,110,121,296,145,,,2026-07-28T16:57:38+00:00
74a99740402c,data/sources/inat/images/516388/658216.png,inat_516388,otter-0042,whole_body,38,48,243,359,639,428,,,2026-07-28T16:58:46+00:00
1fa88c743894,data/sources/inat/images/516388/658216.png,inat_516388,otter-0042,throat,53,99,164,259,639,428,,,2026-07-28T16:58:56+00:00
eff723bdbe90,data/sources/inat/images/516385/658212.png,inat_516385,otter-0043,whole_body,0,45,263,370,619,440,,,2026-07-28T16:59:49+00:00
4c702d8932ce,data/sources/inat/images/516384/658211.png,inat_516384,otter-0044,whole_body,250,114,399,420,653,548,,,2026-07-28T17:00:32+00:00
b1405bb46965,data/sources/inat/images/516382/658209.png,inat_516382,otter-0045,whole_body,0,32,356,502,371,558,,,2026-07-28T17:01:13+00:00
b91c1d796a59,data/sources/inat/images/516381/658208.png,inat_516381,otter-0046,whole_body,41,33,309,399,351,525,,,2026-07-28T17:01:51+00:00
2de7824fd97b,data/sources/inat/images/516380/658207.png,inat_516380,otter-0047,whole_body,12,38,298,464,502,509,,,2026-07-28T17:02:37+00:00
3ff0737dbec4,data/sources/inat/images/516380/658207.png,inat_516380,otter-0047,throat,62,177,184,263,502,509,,,2026-07-28T17:02:44+00:00
458cb447ff87,data/sources/inat/images/516379/658206.png,inat_516379,otter-0048,whole_body,24,36,275,348,463,520,,,2026-07-28T17:03:10+00:00
09b3dc810f17,data/sources/inat/images/516378/658205.png,inat_516378,otter-0048,whole_body,35,41,215,363,396,525,,,2026-07-28T17:03:41+00:00
a68d0b3abed2,data/sources/inat/images/516377/658204.png,inat_516377,otter-0040,whole_body,41,24,135,220,176,244,,,2026-07-28T17:04:18+00:00
af95d06a1578,data/sources/inat/images/516374/658201.png,inat_516374,otter-0050,whole_body,6,29,99,176,193,215,,,2026-07-28T17:05:03+00:00
f678156bb6c7,data/sources/inat/images/516373/658200.png,inat_516373,otter-0041,whole_body,17,21,114,165,143,212,,,2026-07-28T17:05:35+00:00
65c24c0fad61,data/sources/inat/images/516372/658199.png,inat_516372,otter-0050,whole_body,13,18,87,126,104,227,,,2026-07-28T17:06:19+00:00
90b69a4d0ce1,data/sources/inat/images/516371/658198.png,inat_516371,otter-0051,whole_body,15,14,93,145,113,182,,,2026-07-28T17:07:07+00:00
061c07be1db7,data/sources/inat/images/516364/658188.png,inat_516364,otter-0010,whole_body,37,28,76,146,122,210,,,2026-07-28T17:07:50+00:00
223b229ff120,data/sources/inat/images/49819173/79096663.jpeg,inat_49819173,otter-0264,whole_body,381,424,771,439,2048,1536,,,2026-07-28T17:08:30+00:00
216834b65d54,data/sources/inat/images/49819173/79096663.jpeg,inat_49819173,otter-0264,throat,812,569,217,231,2048,1536,,,2026-07-28T17:08:37+00:00
e14dc4b90c66,data/sources/inat/images/47074800/74663167.jpg,inat_47074800,otter-0052,whole_body,395,304,581,735,2048,1448,,,2026-07-28T17:11:43+00:00
d502861c6dd6,data/sources/inat/images/46538472/485953671.jpeg,inat_46538472,otter-0053,whole_body,604,254,152,243,1575,1050,,,2026-07-28T17:20:41+00:00
01d70f0822a4,data/sources/inat/images/46538472/485953671.jpeg,inat_46538472,otter-0053,throat,632,291,109,169,1575,1050,,,2026-07-28T17:20:56+00:00
7b9c40e38d3f,data/sources/inat/images/46538472/485953672.jpeg,inat_46538472,otter-0054,whole_body,89,406,641,439,1575,1050,,,2026-07-28T17:21:23+00:00
bbf2483cfff5,data/sources/inat/images/46538472/485953672.jpeg,inat_46538472,otter-0054,throat,387,476,182,204,1575,1050,,,2026-07-28T17:21:30+00:00
7a7be0633726,data/sources/inat/images/46538472/485953690.jpeg,inat_46538472,otter-0055,whole_body,843,324,243,382,1575,1050,,,2026-07-28T17:22:36+00:00
718c01e9189d,data/sources/inat/images/46538472/485953690.jpeg,inat_46538472,otter-0055,throat,997,365,70,78,1575,1050,,,2026-07-28T17:22:43+00:00
36d27b5b86dc,data/sources/inat/images/46538472/485953690.jpeg,inat_46538472,otter-0056,whole_body,1093,269,211,204,1575,1050,,,2026-07-28T17:23:04+00:00
8f13554dd1e6,data/sources/inat/images/46538472/485953690.jpeg,inat_46538472,otter-0056,throat,1104,295,91,117,1575,1050,,,2026-07-28T17:23:22+00:00
7a38266b0ce1,data/sources/inat/images/46538472/73812268.jpeg,inat_46538472,otter-0057,whole_body,139,326,532,487,1575,1050,,,2026-07-28T17:23:51+00:00
a989bcf20d37,data/sources/inat/images/46538472/73812268.jpeg,inat_46538472,otter-0057,throat,485,402,170,193,1575,1050,,,2026-07-28T17:24:02+00:00
7b5ee95c494b,data/sources/inat/images/46538472/73812268.jpeg,inat_46538472,otter-0055,whole_body,693,170,163,269,1575,1050,,,2026-07-28T17:24:22+00:00
82ed0564ca79,data/sources/inat/images/46538472/73812268.jpeg,inat_46538472,otter-0055,throat,719,250,117,159,1575,1050,,,2026-07-28T17:24:31+00:00
82fec0c6cd5a,data/sources/inat/images/46538472/73812268.jpeg,inat_46538472,otter-0056,whole_body,1243,22,193,278,1575,1050,,,2026-07-28T17:24:56+00:00
fd145b4cdf49,data/sources/inat/images/46538472/73812268.jpeg,inat_46538472,otter-0056,throat,1275,76,139,182,1575,1050,,,2026-07-28T17:25:03+00:00
3e69add42b51,data/sources/inat/images/46538472/73812268.jpeg,inat_46538472,otter-0054,whole_body,1012,196,224,278,1575,1050,,,2026-07-28T17:25:37+00:00
976be2e551ee,data/sources/inat/images/46538472/73812268.jpeg,inat_46538472,otter-0054,throat,1138,239,76,128,1575,1050,,,2026-07-28T17:25:44+00:00
9a7397389fac,data/sources/inat/images/46538472/485953690.jpeg,inat_46538472,otter-0057,whole_body,180,495,422,321,1575,1050,,,2026-07-28T17:34:21+00:00
e6cb2c534211,data/sources/inat/images/46538472/485953690.jpeg,inat_46538472,otter-0057,throat,497,521,96,137,1575,1050,,,2026-07-28T17:34:27+00:00
605b7af7cf9d,data/sources/inat/images/42487167/67463146.jpeg,inat_42487167,otter-0059,whole_body,860,405,624,518,2048,1365,,,2026-07-28T17:35:53+00:00
c7899661a22d,data/sources/inat/images/42487167/67463146.jpeg,inat_42487167,otter-0059,throat,891,460,169,284,2048,1365,,,2026-07-28T17:36:03+00:00
6951fa78bc8d,data/sources/inat/images/41560997/65939557.jpg,inat_41560997,otter-0060,whole_body,138,37,302,472,800,530,,,2026-07-28T17:37:19+00:00
9e3c919214cc,data/sources/inat/images/41560997/65939557.jpg,inat_41560997,otter-0060,throat,195,104,162,318,800,530,,,2026-07-28T17:37:29+00:00
7e20c5a5b646,data/sources/inat/images/41560997/65939557.jpg,inat_41560997,otter-0061,whole_body,408,37,299,472,800,530,,,2026-07-28T17:37:46+00:00
88071838b1e0,data/sources/inat/images/41560997/65939557.jpg,inat_41560997,otter-0061,throat,419,118,179,273,800,530,,,2026-07-28T17:37:53+00:00
e9cc19524f8c,data/sources/inat/images/40594293/64339748.jpeg,inat_40594293,otter-0062,whole_body,436,318,111,142,990,720,,,2026-07-28T17:38:14+00:00
25faa14dfb02,data/sources/inat/images/40594293/64339748.jpeg,inat_40594293,otter-0062,throat,465,354,68,91,990,720,,,2026-07-28T17:38:22+00:00
6a2739e7ac61,data/sources/inat/images/40594293/64339734.jpeg,inat_40594293,otter-0063,whole_body,376,266,199,226,990,720,,,2026-07-28T17:38:39+00:00
12447fc2c5c1,data/sources/inat/images/40594293/64339734.jpeg,inat_40594293,otter-0063,throat,399,323,135,153,990,720,,,2026-07-28T17:38:44+00:00
d97b09487e39,data/sources/inat/images/40594293/64339685.jpeg,inat_40594293,otter-0064,whole_body,466,317,351,288,1290,840,,,2026-07-28T17:39:29+00:00
83d98eb08bc0,data/sources/inat/images/40594293/64339685.jpeg,inat_40594293,otter-0064,throat,545,387,114,111,1290,840,,,2026-07-28T17:39:35+00:00
4d866a05aa3f,data/sources/inat/images/39862426/63280941.jpg,inat_39862426,otter-0065,whole_body,354,36,704,940,2048,1366,,,2026-07-28T17:40:26+00:00
3606fb6dd5e9,data/sources/inat/images/39862426/63280941.jpg,inat_39862426,otter-0065,throat,412,316,617,607,2048,1366,,,2026-07-28T17:40:40+00:00
e2873f978f59,data/sources/inat/images/39799562/63180374.jpeg,inat_39799562,otter-0066,whole_body,351,230,334,458,1280,853,,,2026-07-28T17:41:09+00:00
02e4c7e3c250,data/sources/inat/images/39799562/63180374.jpeg,inat_39799562,otter-0066,throat,395,363,250,307,1280,853,,,2026-07-28T17:41:19+00:00
5f48cc6a77b4,data/sources/inat/images/38225990/60722603.jpg,inat_38225990,otter-0067,whole_body,219,91,458,367,900,700,,,2026-07-28T17:41:47+00:00
5ca41dcf2a3a,data/sources/inat/images/38225990/60722603.jpg,inat_38225990,otter-0067,throat,251,144,98,190,900,700,,,2026-07-28T17:41:54+00:00
d4b2c31a2a6f,data/sources/inat/images/380933218/696964949.jpg,inat_380933218,otter-0068,whole_body,978,313,371,593,2048,1365,,,2026-07-28T17:42:55+00:00
9ae6b3f17d0a,data/sources/inat/images/380933218/696964949.jpg,inat_380933218,otter-0068,throat,1060,386,205,342,2048,1365,,,2026-07-28T17:43:07+00:00
b51a62f83af6,data/sources/inat/images/38054646/60425308.jpeg,inat_38054646,otter-0069,whole_body,785,489,236,332,2048,1365,,,2026-07-28T17:43:29+00:00
4456b5af9e39,data/sources/inat/images/38054646/60425308.jpeg,inat_38054646,otter-0069,throat,802,554,205,243,2048,1365,,,2026-07-28T17:43:39+00:00
56ff0a4036cc,data/sources/inat/images/38054646/60425270.jpg,inat_38054646,otter-1736,whole_body,735,679,376,470,2048,1625,,,2026-07-28T17:44:08+00:00
b0df5c4401cd,data/sources/inat/images/38054646/60425270.jpg,inat_38054646,otter-1736,throat,807,776,289,349,2048,1625,,,2026-07-28T17:44:16+00:00
84f5acc4380a,data/sources/inat/images/380394849/695919698.jpg,inat_380394849,otter-0070,whole_body,75,219,1137,388,1440,811,,,2026-07-28T17:47:50+00:00
d1a536fc18bc,data/sources/inat/images/380394849/695919698.jpg,inat_380394849,otter-0070,throat,896,330,249,266,1440,811,,,2026-07-28T17:47:57+00:00
07089b640ead,data/sources/inat/images/380394849/695919678.jpg,inat_380394849,otter-0070,whole_body,2,227,1184,850,1440,1080,,,2026-07-28T17:48:50+00:00
ecc92539ff92,data/sources/inat/images/380394849/695919678.jpg,inat_380394849,otter-0070,throat,518,647,505,410,1440,1080,,,2026-07-28T17:48:57+00:00
35fec5b31cd9,data/sources/inat/images/375051791/685584786.jpg,inat_375051791,otter-0071,whole_body,229,130,971,1195,2048,1365,,,2026-07-28T17:49:54+00:00
1cd8306f3f98,data/sources/inat/images/375051791/685584786.jpg,inat_375051791,otter-0071,throat,323,393,701,877,2048,1365,,,2026-07-28T17:50:04+00:00
df36199dd2ee,data/sources/inat/images/375017041/685488125.jpg,inat_375017041,otter-0072,whole_body,219,287,1306,669,1920,1280,,,2026-07-28T17:50:37+00:00
2cd40fa9b883,data/sources/inat/images/375017041/685488125.jpg,inat_375017041,otter-0072,throat,1091,330,382,544,1920,1280,,,2026-07-28T17:50:53+00:00
3f067f30872d,data/sources/inat/images/373583604/682754945.jpg,inat_373583604,otter-0073,whole_body,255,205,1169,1296,2048,1794,,,2026-07-28T17:51:35+00:00
65afb7ca701a,data/sources/inat/images/373583604/682754945.jpg,inat_373583604,otter-0073,throat,578,545,494,631,2048,1794,,,2026-07-28T17:51:45+00:00
0360130e0a35,data/sources/inat/images/372487599/680662388.jpg,inat_372487599,otter-0074,whole_body,482,453,513,328,2048,1153,,,2026-07-28T17:52:10+00:00
a05490ccef3d,data/sources/inat/images/372487599/680662388.jpg,inat_372487599,otter-0074,throat,528,549,173,159,2048,1153,,,2026-07-28T17:52:17+00:00
1197206ab512,data/sources/inat/images/371935910/679602262.jpg,inat_371935910,otter-0075,whole_body,720,275,573,605,2048,1365,,,2026-07-28T17:53:08+00:00
935627cd8913,data/sources/inat/images/371935910/679602262.jpg,inat_371935910,otter-0075,throat,1012,369,193,258,2048,1365,,,2026-07-28T17:53:16+00:00
a120094d01fe,data/sources/inat/images/367675249/671481703.jpg,inat_367675249,otter-0076,whole_body,354,27,1282,1337,2048,1365,,,2026-07-28T17:54:25+00:00
6aeb2a84aab7,data/sources/inat/images/367675249/671481703.jpg,inat_367675249,otter-0076,throat,463,571,1120,790,2048,1365,,,2026-07-28T17:54:39+00:00
685b04397f40,data/sources/inat/images/365498567/667317921.jpg,inat_365498567,otter-0077,whole_body,1106,455,537,617,2048,1365,,,2026-07-28T17:55:08+00:00
fe2e32437784,data/sources/inat/images/365498567/667317921.jpg,inat_365498567,otter-0077,throat,1147,670,412,381,2048,1365,,,2026-07-28T17:55:16+00:00
2fe32e11f634,data/sources/inat/images/363946199/664377833.jpg,inat_363946199,otter-0078,whole_body,193,542,323,306,2048,1360,,,2026-07-28T17:55:56+00:00
87ec864e6a6c,data/sources/inat/images/363946199/664377833.jpg,inat_363946199,otter-0078,throat,383,571,106,176,2048,1360,,,2026-07-28T17:56:06+00:00
ff4f604c4265,data/sources/inat/images/363946186/664377497.jpg,inat_363946186,otter-0079,whole_body,891,508,282,287,2048,1360,,,2026-07-28T17:56:37+00:00
b8fcd44e9003,data/sources/inat/images/363946186/664377497.jpg,inat_363946186,otter-0079,throat,983,566,145,188,2048,1360,,,2026-07-28T17:56:44+00:00
388d3286ac92,data/sources/inat/images/363946186/664377497.jpg,inat_363946186,otter-0080,whole_body,504,711,207,270,2048,1360,,,2026-07-28T17:57:17+00:00
1485e89b9e70,data/sources/inat/images/363946186/664377497.jpg,inat_363946186,otter-0080,throat,542,759,130,176,2048,1360,,,2026-07-28T17:57:24+00:00
19874df45a5b,data/sources/inat/images/362578424/661776837.jpg,inat_362578424,otter-0081,whole_body,255,173,537,836,2048,1187,,,2026-07-28T17:57:54+00:00
2a118fe70fa5,data/sources/inat/images/362578424/661776837.jpg,inat_362578424,otter-0081,throat,393,272,369,467,2048,1187,,,2026-07-28T17:58:03+00:00
5a3edb366d2c,data/sources/inat/images/362578424/661776837.jpg,inat_362578424,otter-0082,whole_body,1313,535,482,441,2048,1187,,,2026-07-28T17:58:16+00:00
a276d6b95c10,data/sources/inat/images/362578424/661776837.jpg,inat_362578424,otter-0082,throat,1518,614,253,306,2048,1187,,,2026-07-28T17:58:23+00:00
16e69c1000d2,data/sources/inat/images/361049795/658883719.jpg,inat_361049795,otter-0083,whole_body,239,89,496,783,2048,1152,,,2026-07-28T17:58:53+00:00
9e06366e289c,data/sources/inat/images/361049795/658883719.jpg,inat_361049795,otter-0083,throat,371,214,313,439,2048,1152,,,2026-07-28T17:58:59+00:00
3b32fb01ce5b,data/sources/inat/images/361049795/658883719.jpg,inat_361049795,otter-0076,whole_body,1272,253,559,626,2048,1152,,,2026-07-28T17:59:12+00:00
6d268c82bce9,data/sources/inat/images/361049795/658883719.jpg,inat_361049795,otter-0076,throat,1308,419,390,419,2048,1152,,,2026-07-28T17:59:19+00:00
544c2411618f,data/sources/inat/images/35559964/56083404.jpg,inat_35559964,otter-0085,whole_body,227,2,399,512,900,647,,,2026-07-28T18:00:07+00:00
af56b83a4ca2,data/sources/inat/images/35559964/56083404.jpg,inat_35559964,otter-0085,throat,263,78,301,389,900,647,,,2026-07-28T18:00:15+00:00
c931d135fd60,data/sources/inat/images/35559964/145899268.jpg,inat_35559964,otter-0086,whole_body,271,72,556,527,900,643,,,2026-07-28T18:01:22+00:00
2fe7f8c7475e,data/sources/inat/images/35559964/145899268.jpg,inat_35559964,otter-0086,throat,325,177,185,254,900,643,,,2026-07-28T18:01:28+00:00
de475289cbcd,data/sources/inat/images/35559964/145899266.jpg,inat_35559964,otter-0086,whole_body,326,120,270,334,900,597,,,2026-07-28T18:01:43+00:00
7412a5a4c619,data/sources/inat/images/35559964/145899266.jpg,inat_35559964,otter-0086,throat,379,248,109,155,900,597,,,2026-07-28T18:01:51+00:00
a67c1ee580e0,data/sources/inat/images/35547975/56064182.jpg,inat_35547975,otter-0027,whole_body,163,127,247,268,900,562,,,2026-07-28T18:02:19+00:00
f9bdd70238c2,data/sources/inat/images/35547975/56064182.jpg,inat_35547975,otter-0027,throat,219,203,163,166,900,562,,,2026-07-28T18:02:25+00:00
aabd727af868,data/sources/inat/images/35459252/55913538.jpg,inat_35459252,otter-0088,whole_body,547,214,876,1325,2040,1542,,,2026-07-28T18:02:53+00:00
5eb3240c7b58,data/sources/inat/images/35459252/55913538.jpg,inat_35459252,otter-0088,throat,806,382,442,1046,2040,1542,,,2026-07-28T18:03:02+00:00
e2b42eafa1f0,data/sources/inat/images/350605127/639724509.jpg,inat_350605127,otter-0089,whole_body,484,2,465,528,2048,1363,,,2026-07-28T18:03:44+00:00
751ae04c5009,data/sources/inat/images/350605127/639724509.jpg,inat_350605127,otter-0089,throat,610,12,181,272,2048,1363,,,2026-07-28T18:03:51+00:00
4459c8e0b5bd,data/sources/inat/images/350330349/639177683.jpg,inat_350330349,otter-0090,whole_body,224,154,348,230,640,480,,,2026-07-28T18:04:41+00:00
